country,date_first_case
USA,Jan-20
Italy,Jan-29
Spain,Jan-30
Germany,Jan-26
Iran,Feb-18
France,Jan-23
UK,Jan-30
Switzerland,Feb-24
Netherlands,Feb-26
Belgium,Feb-03
S. Korea,Jan-19
Austria,Feb-24
Turkey,Mar-09
Portugal,Mar-01
Canada,Jan-24
Norway,Feb-25
Australia,Jan-24
Brazil,Feb-24
Israel,Feb-20
Sweden,Jan-30
Czechia,Feb-29
Malaysia,Jan-24
Ireland,Feb-28
Denmark,Feb-26
Chile,Mar-02
Luxembourg,Feb-28
Ecuador,Feb-28
Romania,Feb-25
Poland,Mar-03
Japan,Jan-14
Russia,Jan-30
Pakistan,Feb-25
Philippines,Jan-29
Thailand,Jan-12
Indonesia,Mar-01
Finland,Jan-28
Saudi Arabia,Mar-01
South Africa,Mar-04
Greece,Feb-25
India,Jan-29
Iceland,Feb-27
Panama,Mar-09
Mexico,Feb-27
Singapore,Jan-22
Argentina,Mar-02
Slovenia,Mar-03
Dominican Republic,Feb-29
Croatia,Feb-24
Diamond Princess,Feb-04
Estonia,Feb-26
Peru,Mar-05
Serbia,Mar-05
Hong Kong,Jan-22
Colombia,Mar-05
Qatar,Feb-28
Egypt,Feb-13
Iraq,Feb-21
New Zealand,Feb-27
Bahrain,Feb-23
UAE,Jan-28
Algeria,Feb-24
Lebanon,Feb-20
Morocco,Mar-01
Lithuania,Feb-27
Armenia,Feb-29
Ukraine,Mar-02
Hungary,Mar-03
Latvia,Mar-01
Bulgaria,Mar-06
Bosnia and Herzegovina,Mar-04
Slovakia,Mar-05
Andorra,Mar-01
Uruguay,Mar-12
Taiwan,Jan-20
Costa Rica,Mar-04
Tunisia,Mar-01
North Macedonia,Feb-25
Kuwait,Feb-23
Kazakhstan,Mar-12
Jordan,Mar-01
Moldova,Mar-06
San Marino,Feb-26
Albania,Mar-07
Burkina Faso,Mar-08
Vietnam,Jan-22
R̩union,Mar-10
Azerbaijan,Feb-27
Cyprus,Mar-08
Oman,Feb-23
Faeroe Islands,Mar-03
Malta,Mar-06
Senegal,Mar-01
Ghana,Mar-11
Ivory Coast,Mar-10
Uzbekistan,Mar-14
Brunei ,Mar-08
Afghanistan,Feb-23
Cuba,Mar-10
Venezuela,Mar-12
Sri Lanka,Jan-26
Honduras,Mar-10
Palestine,Mar-04
Cambodia,Jan-26
Guadeloupe,Mar-12
Mauritius,Mar-17
Channel Islands,Mar-08
Nigeria,Feb-27
Belarus,Feb-27
Martinique,Mar-04
Cameroon,Mar-05
Georgia,Feb-25
Montenegro,Mar-16
Kyrgyzstan,Mar-17
Bolivia,Mar-09
Trinidad and Tobago,Mar-11
DRC,Mar-09
Mayotte,Mar-13
Rwanda,Mar-13
Paraguay,Mar-06
Gibraltar,Mar-02
Liechtenstein,Mar-02
Bangladesh,Mar-07
Aruba,Mar-12
Monaco,Feb-27
Madagascar,Mar-19
Kenya,Mar-12
Macao,Jan-21
Isle of Man,Mar-18
Guatemala,Mar-12
Jamaica,Mar-09
French Polynesia,Mar-10
Uganda,Mar-20
French Guiana,Mar-06
Zambia,Mar-17
Barbados,Mar-16
Togo,Mar-05
El Salvador,Mar-18
Bermuda,Mar-17
Ethiopia,Mar-12
Mali,Mar-24
Niger,Mar-18
Maldives,Mar-06
Guinea,Mar-12
Haiti,Mar-19
New Caledonia,Mar-17
Djibouti,Mar-17
Tanzania,Mar-15
Equatorial Guinea,Mar-13
Mongolia,Mar-09
Dominica,Mar-21
Namibia,Mar-13
Saint Martin,Feb-29
Bahamas,Mar-14
Greenland,Mar-15
Grenada,Mar-21
Eswatini,Mar-13
Cayman Islands,Mar-12
Cura̤ao,Mar-12
Guyana,Mar-11
Laos,Mar-23
Mozambique,Mar-21
Myanmar,Mar-22
Seychelles,Mar-13
Suriname,Mar-12
Gabon,Mar-12
Zimbabwe,Mar-19
Antigua and Barbuda,Mar-12
Cabo Verde,Mar-19
Benin,Mar-15
Eritrea,Mar-20
Vatican City,Mar-05
Sudan,Mar-12
Nepal,Jan-23
Angola,Mar-19
Fiji,Mar-18
Mauritania,Mar-12
Montserrat,Mar-17
St. Barth,Feb-29
Syria,Mar-21
Nicaragua,Mar-18
Bhutan,Mar-05
Congo,Mar-14
Saint Lucia,Mar-12
Turks and Caicos,Mar-22
Gambia,Mar-16
CAR,Mar-14
Chad,Mar-18
Liberia,Mar-15
Libya,Mar-23
Sint Maarten,Mar-17
Somalia,Mar-15
MS Zaandam,Mar-26
Anguilla,Mar-25
Belize,Mar-22
British Virgin Islands,Mar-24
Guinea-Bissau,Mar-24
Saint Kitts and Nevis,Mar-24
Papua New Guinea,Mar-19
St. Vincent Grenadines,Mar-10
Timor-Leste,Mar-20
China,Jan-10
